,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total
34,2,16-64 años,% Extranjeros,Mujeres,2020,7.6
35,2,16-64 años,% Extranjeros,Mujeres,2019,7.08
36,2,65 y más,Españoles,Hombres,2021,33108.0
37,2,65 y más,Españoles,Hombres,2020,33242.0
38,2,65 y más,Españoles,Hombres,2019,32971.0
39,2,65 y más,Españoles,Mujeres,2021,41204.0
40,2,65 y más,Españoles,Mujeres,2020,41373.0
41,2,65 y más,Españoles,Mujeres,2019,41148.0
42,2,65 y más,Extranjeros,Hombres,2021,347.0
43,2,65 y más,Extranjeros,Hombres,2020,321.0
44,2,65 y más,Extranjeros,Hombres,2019,290.0
45,2,65 y más,Extranjeros,Mujeres,2021,460.0
46,2,65 y más,Extranjeros,Mujeres,2020,443.0
47,2,65 y más,Extranjeros,Mujeres,2019,385.0
48,2,65 y más,% Extranjeros,Hombres,2021,1.04
49,2,65 y más,% Extranjeros,Hombres,2020,0.96
50,2,65 y más,% Extranjeros,Hombres,2019,0.87
51,2,65 y más,% Extranjeros,Mujeres,2021,1.1
52,2,65 y más,% Extranjeros,Mujeres,2020,1.06
53,2,65 y más,% Extranjeros,Mujeres,2019,0.93
54,3,0-15 años,Españoles,Hombres,2021,121579.0
55,3,0-15 años,Españoles,Hombres,2020,123879.0
56,3,0-15 años,Españoles,Hombres,2019,125807.0
57,3,0-15 años,Españoles,Mujeres,2021,114198.0
58,3,0-15 años,Españoles,Mujeres,2020,116230.0
59,3,0-15 años,Españoles,Mujeres,2019,118118.0
60,3,0-15 años,Extranjeros,Hombres,2021,25690.0
61,3,0-15 años,Extranjeros,Hombres,2020,26167.0
62,3,0-15 años,Extranjeros,Hombres,2019,24426.0
63,3,0-15 años,Extranjeros,Mujeres,2021,24468.0
64,3,0-15 años,Extranjeros,Mujeres,2020,24953.0
65,3,0-15 años,Extranjeros,Mujeres,2019,23344.0
66,3,0-15 años,% Extranjeros,Hombres,2021,17.44
67,3,0-15 años,% Extranjeros,Hombres,2020,17.44
68,3,0-15 años,% Extranjeros,Hombres,2019,16.26
69,3,0-15 años,% Extranjeros,Mujeres,2021,17.65
70,3,0-15 años,% Extranjeros,Mujeres,2020,17.67
71,3,0-15 años,% Extranjeros,Mujeres,2019,16.5
72,3,16-64 años,Españoles,Hombres,2021,490091.0
73,3,16-64 años,Españoles,Hombres,2020,488873.0
74,3,16-64 años,Españoles,Hombres,2019,488464.0
75,3,16-64 años,Españoles,Mujeres,2021,480834.0
76,3,16-64 años,Españoles,Mujeres,2020,480020.0
77,3,16-64 años,Españoles,Mujeres,2019,480081.0
78,3,16-64 años,Extranjeros,Hombres,2021,123928.0
79,3,16-64 años,Extranjeros,Hombres,2020,124773.0
80,3,16-64 años,Extranjeros,Hombres,2019,116977.0
81,3,16-64 años,Extranjeros,Mujeres,2021,122417.0
82,3,16-64 años,Extranjeros,Mujeres,2020,121991.0
83,3,16-64 años,Extranjeros,Mujeres,2019,114914.0
84,3,16-64 años,% Extranjeros,Hombres,2021,20.18
85,3,16-64 años,% Extranjeros,Hombres,2020,20.33
86,3,16-64 años,% Extranjeros,Hombres,2019,19.32
87,3,16-64 años,% Extranjeros,Mujeres,2021,20.29
88,3,16-64 años,% Extranjeros,Mujeres,2020,20.26
89,3,16-64 años,% Extranjeros,Mujeres,2019,19.31
90,3,65 y más,Españoles,Hombres,2021,132094.0
91,3,65 y más,Españoles,Hombres,2020,129671.0
92,3,65 y más,Españoles,Hombres,2019,127087.0
93,3,65 y más,Españoles,Mujeres,2021,169543.0
94,3,65 y más,Españoles,Mujeres,2020,166597.0
95,3,65 y más,Españoles,Mujeres,2019,163672.0
96,3,65 y más,Extranjeros,Hombres,2021,38636.0
97,3,65 y más,Extranjeros,Hombres,2020,38493.0
98,3,65 y más,Extranjeros,Hombres,2019,38154.0
99,3,65 y más,Extranjeros,Mujeres,2021,38284.0
100,3,65 y más,Extranjeros,Mujeres,2020,38241.0
101,3,65 y más,Extranjeros,Mujeres,2019,37639.0
102,3,65 y más,% Extranjeros,Hombres,2021,22.63
103,3,65 y más,% Extranjeros,Hombres,2020,22.89
104,3,65 y más,% Extranjeros,Hombres,2019,23.09
105,3,65 y más,% Extranjeros,Mujeres,2021,18.42
106,3,65 y más,% Extranjeros,Mujeres,2020,18.67
107,3,65 y más,% Extranjeros,Mujeres,2019,18.7
108,4,0-15 años,Españoles,Hombres,2021,52239.0
109,4,0-15 años,Españoles,Hombres,2020,52824.0
110,4,0-15 años,Españoles,Hombres,2019,53087.0
111,4,0-15 años,Españoles,Mujeres,2021,49554.0
112,4,0-15 años,Españoles,Mujeres,2020,50175.0
113,4,0-15 años,Españoles,Mujeres,2019,50402.0
114,4,0-15 años,Extranjeros,Hombres,2021,14310.0
115,4,0-15 años,Extranjeros,Hombres,2020,14105.0
116,4,0-15 años,Extranjeros,Hombres,2019,13280.0
117,4,0-15 años,Extranjeros,Mujeres,2021,13471.0
118,4,0-15 años,Extranjeros,Mujeres,2020,13379.0
119,4,0-15 años,Extranjeros,Mujeres,2019,12602.0
120,4,0-15 años,% Extranjeros,Hombres,2021,21.5
121,4,0-15 años,% Extranjeros,Hombres,2020,21.07
122,4,0-15 años,% Extranjeros,Hombres,2019,20.01
123,4,0-15 años,% Extranjeros,Mujeres,2021,21.37
124,4,0-15 años,% Extranjeros,Mujeres,2020,21.05
125,4,0-15 años,% Extranjeros,Mujeres,2019,20.0
126,4,16-64 años,Españoles,Hombres,2021,190108.0
127,4,16-64 años,Españoles,Hombres,2020,189607.0
128,4,16-64 años,Españoles,Hombres,2019,189308.0
129,4,16-64 años,Españoles,Mujeres,2021,186075.0
130,4,16-64 años,Españoles,Mujeres,2020,185285.0
131,4,16-64 años,Españoles,Mujeres,2019,184805.0
132,4,16-64 años,Extranjeros,Hombres,2021,66062.0
133,4,16-64 años,Extranjeros,Hombres,2020,65918.0
134,4,16-64 años,Extranjeros,Hombres,2019,62493.0
135,4,16-64 años,Extranjeros,Mujeres,2021,48660.0
136,4,16-64 años,Extranjeros,Mujeres,2020,47971.0
137,4,16-64 años,Extranjeros,Mujeres,2019,45278.0
138,4,16-64 años,% Extranjeros,Hombres,2021,25.79
139,4,16-64 años,% Extranjeros,Hombres,2020,25.8
140,4,16-64 años,% Extranjeros,Hombres,2019,24.82
141,4,16-64 años,% Extranjeros,Mujeres,2021,20.73
142,4,16-64 años,% Extranjeros,Mujeres,2020,20.57
143,4,16-64 años,% Extranjeros,Mujeres,2019,19.68
144,4,65 y más,Españoles,Hombres,2021,43214.0
145,4,65 y más,Españoles,Hombres,2020,42233.0
146,4,65 y más,Españoles,Hombres,2019,41168.0
147,4,65 y más,Españoles,Mujeres,2021,54245.0
148,4,65 y más,Españoles,Mujeres,2020,53226.0
149,4,65 y más,Españoles,Mujeres,2019,52142.0
150,4,65 y más,Extranjeros,Hombres,2021,7203.0
151,4,65 y más,Extranjeros,Hombres,2020,6871.0
152,4,65 y más,Extranjeros,Hombres,2019,6365.0
153,4,65 y más,Extranjeros,Mujeres,2021,6651.0
154,4,65 y más,Extranjeros,Mujeres,2020,6351.0
155,4,65 y más,Extranjeros,Mujeres,2019,5890.0
156,4,65 y más,% Extranjeros,Hombres,2021,14.29
157,4,65 y más,% Extranjeros,Hombres,2020,13.99
158,4,65 y más,% Extranjeros,Hombres,2019,13.39
159,4,65 y más,% Extranjeros,Mujeres,2021,10.92
160,4,65 y más,% Extranjeros,Mujeres,2020,10.66
161,4,65 y más,% Extranjeros,Mujeres,2019,10.15
162,1,0-15 años,Españoles,Hombres,2021,23408.0
163,1,0-15 años,Españoles,Hombres,2020,23695.0
164,1,0-15 años,Españoles,Hombres,2019,23942.0
165,1,0-15 años,Españoles,Mujeres,2021,21947.0
166,1,0-15 años,Españoles,Mujeres,2020,22182.0
167,1,0-15 años,Españoles,Mujeres,2019,22401.0
168,1,0-15 años,Extranjeros,Hombres,2021,3069.0
169,1,0-15 años,Extranjeros,Hombres,2020,3252.0
170,1,0-15 años,Extranjeros,Hombres,2019,3121.0
171,1,0-15 años,Extranjeros,Mujeres,2021,2976.0
172,1,0-15 años,Extranjeros,Mujeres,2020,3097.0
173,1,0-15 años,Extranjeros,Mujeres,2019,2934.0
174,1,0-15 años,% Extranjeros,Hombres,2021,11.59
175,1,0-15 años,% Extranjeros,Hombres,2020,12.07
176,1,0-15 años,% Extranjeros,Hombres,2019,11.53
177,1,0-15 años,% Extranjeros,Mujeres,2021,11.94
178,1,0-15 años,% Extranjeros,Mujeres,2020,12.25
179,1,0-15 años,% Extranjeros,Mujeres,2019,11.58
180,1,16-64 años,Españoles,Hombres,2021,93014.0
181,1,16-64 años,Españoles,Hombres,2020,93338.0
182,1,16-64 años,Españoles,Hombres,2019,93644.0
183,1,16-64 años,Españoles,Mujeres,2021,92248.0
184,1,16-64 años,Españoles,Mujeres,2020,92747.0
185,1,16-64 años,Españoles,Mujeres,2019,93074.0
186,1,16-64 años,Extranjeros,Hombres,2021,13012.0
187,1,16-64 años,Extranjeros,Hombres,2020,12870.0
188,1,16-64 años,Extranjeros,Hombres,2019,12095.0
189,1,16-64 años,Extranjeros,Mujeres,2021,12418.0
190,1,16-64 años,Extranjeros,Mujeres,2020,12283.0
191,1,16-64 años,Extranjeros,Mujeres,2019,11437.0
192,1,16-64 años,% Extranjeros,Hombres,2021,12.27
193,1,16-64 años,% Extranjeros,Hombres,2020,12.12
194,1,16-64 años,% Extranjeros,Hombres,2019,11.44
195,1,16-64 años,% Extranjeros,Mujeres,2021,11.86
196,1,16-64 años,% Extranjeros,Mujeres,2020,11.69
197,1,16-64 años,% Extranjeros,Mujeres,2019,10.94
198,1,65 y más,Españoles,Hombres,2021,31393.0
199,1,65 y más,Españoles,Hombres,2020,31035.0
200,1,65 y más,Españoles,Hombres,2019,30425.0
201,1,65 y más,Españoles,Mujeres,2021,39187.0
202,1,65 y más,Españoles,Mujeres,2020,38527.0
203,1,65 y más,Españoles,Mujeres,2019,37728.0
204,1,65 y más,Extranjeros,Hombres,2021,356.0
205,1,65 y más,Extranjeros,Hombres,2020,334.0
206,1,65 y más,Extranjeros,Hombres,2019,272.0
207,1,65 y más,Extranjeros,Mujeres,2021,598.0
208,1,65 y más,Extranjeros,Mujeres,2020,580.0
209,1,65 y más,Extranjeros,Mujeres,2019,476.0
210,1,65 y más,% Extranjeros,Hombres,2021,1.12
211,1,65 y más,% Extranjeros,Hombres,2020,1.06
212,1,65 y más,% Extranjeros,Hombres,2019,0.89
213,1,65 y más,% Extranjeros,Mujeres,2021,1.5
214,1,65 y más,% Extranjeros,Mujeres,2020,1.48
215,1,65 y más,% Extranjeros,Mujeres,2019,1.25
216,33,0-15 años,Españoles,Hombres,2021,56108.0
217,33,0-15 años,Españoles,Hombres,2020,57298.0
218,33,0-15 años,Españoles,Hombres,2019,58440.0
219,33,0-15 años,Españoles,Mujeres,2021,52991.0
220,33,0-15 años,Españoles,Mujeres,2020,54177.0
221,33,0-15 años,Españoles,Mujeres,2019,55289.0
222,33,0-15 años,Extranjeros,Hombres,2021,3079.0
223,33,0-15 años,Extranjeros,Hombres,2020,3158.0
224,33,0-15 años,Extranjeros,Hombres,2019,2871.0
225,33,0-15 años,Extranjeros,Mujeres,2021,2934.0
226,33,0-15 años,Extranjeros,Mujeres,2020,2942.0
227,33,0-15 años,Extranjeros,Mujeres,2019,2737.0
228,33,0-15 años,% Extranjeros,Hombres,2021,5.2
229,33,0-15 años,% Extranjeros,Hombres,2020,5.22
230,33,0-15 años,% Extranjeros,Hombres,2019,4.68
231,33,0-15 años,% Extranjeros,Mujeres,2021,5.25
232,33,0-15 años,% Extranjeros,Mujeres,2020,5.15
233,33,0-15 años,% Extranjeros,Mujeres,2019,4.72
234,33,16-64 años,Españoles,Hombres,2021,293967.0
235,33,16-64 años,Españoles,Hombres,2020,297245.0
236,33,16-64 años,Españoles,Hombres,2019,301546.0
237,33,16-64 años,Españoles,Mujeres,2021,296923.0
238,33,16-64 años,Españoles,Mujeres,2020,300516.0
239,33,16-64 años,Españoles,Mujeres,2019,304914.0
240,33,16-64 años,Extranjeros,Hombres,2021,16886.0
241,33,16-64 años,Extranjeros,Hombres,2020,16903.0
242,33,16-64 años,Extranjeros,Hombres,2019,15609.0
243,33,16-64 años,Extranjeros,Mujeres,2021,20065.0
244,33,16-64 años,Extranjeros,Mujeres,2020,19978.0
245,33,16-64 años,Extranjeros,Mujeres,2019,18401.0
246,33,16-64 años,% Extranjeros,Hombres,2021,5.43
247,33,16-64 años,% Extranjeros,Hombres,2020,5.38
248,33,16-64 años,% Extranjeros,Hombres,2019,4.92
249,33,16-64 años,% Extranjeros,Mujeres,2021,6.33
250,33,16-64 años,% Extranjeros,Mujeres,2020,6.23
251,33,16-64 años,% Extranjeros,Mujeres,2019,5.69
252,33,65 y más,Españoles,Hombres,2021,111584.0
253,33,65 y más,Españoles,Hombres,2020,110476.0
254,33,65 y más,Españoles,Hombres,2019,108815.0
255,33,65 y más,Españoles,Mujeres,2021,154774.0
256,33,65 y más,Españoles,Mujeres,2020,153751.0
257,33,65 y más,Españoles,Mujeres,2019,152170.0
258,33,65 y más,Extranjeros,Hombres,2021,1041.0
259,33,65 y más,Extranjeros,Hombres,2020,986.0
260,33,65 y más,Extranjeros,Hombres,2019,856.0
261,33,65 y más,Extranjeros,Mujeres,2021,1440.0
262,33,65 y más,Extranjeros,Mujeres,2020,1354.0
263,33,65 y más,Extranjeros,Mujeres,2019,1152.0
264,33,65 y más,% Extranjeros,Hombres,2021,0.92
265,33,65 y más,% Extranjeros,Hombres,2020,0.88
266,33,65 y más,% Extranjeros,Hombres,2019,0.78
267,33,65 y más,% Extranjeros,Mujeres,2021,0.92
268,33,65 y más,% Extranjeros,Mujeres,2020,0.87
269,33,65 y más,% Extranjeros,Mujeres,2019,0.75
270,5,0-15 años,Españoles,Hombres,2021,9279.0
271,5,0-15 años,Españoles,Hombres,2020,9370.0
272,5,0-15 años,Españoles,Hombres,2019,9387.0
273,5,0-15 años,Españoles,Mujeres,2021,8638.0
274,5,0-15 años,Españoles,Mujeres,2020,8669.0
275,5,0-15 años,Españoles,Mujeres,2019,8753.0
276,5,0-15 años,Extranjeros,Hombres,2021,1132.0
277,5,0-15 años,Extranjeros,Hombres,2020,1117.0
278,5,0-15 años,Extranjeros,Hombres,2019,988.0
279,5,0-15 años,Extranjeros,Mujeres,2021,1047.0
280,5,0-15 años,Extranjeros,Mujeres,2020,1033.0
281,5,0-15 años,Extranjeros,Mujeres,2019,914.0
282,5,0-15 años,% Extranjeros,Hombres,2021,10.87
283,5,0-15 años,% Extranjeros,Hombres,2020,10.65
284,5,0-15 años,% Extranjeros,Hombres,2019,9.52
285,5,0-15 años,% Extranjeros,Mujeres,2021,10.81
286,5,0-15 años,% Extranjeros,Mujeres,2020,10.65
287,5,0-15 años,% Extranjeros,Mujeres,2019,9.45
288,5,16-64 años,Españoles,Hombres,2021,46251.0
289,5,16-64 años,Españoles,Hombres,2020,45880.0
290,5,16-64 años,Españoles,Hombres,2019,46432.0
291,5,16-64 años,Españoles,Mujeres,2021,42923.0
292,5,16-64 años,Españoles,Mujeres,2020,42511.0
293,5,16-64 años,Españoles,Mujeres,2019,42915.0
294,5,16-64 años,Extranjeros,Hombres,2021,3792.0
295,5,16-64 años,Extranjeros,Hombres,2020,3807.0
296,5,16-64 años,Extranjeros,Hombres,2019,3423.0
297,5,16-64 años,Extranjeros,Mujeres,2021,4142.0
298,5,16-64 años,Extranjeros,Mujeres,2020,4145.0
299,5,16-64 años,Extranjeros,Mujeres,2019,3798.0
300,5,16-64 años,% Extranjeros,Hombres,2021,7.58
301,5,16-64 años,% Extranjeros,Hombres,2020,7.66
302,5,16-64 años,% Extranjeros,Hombres,2019,6.87
303,5,16-64 años,% Extranjeros,Mujeres,2021,8.8
304,5,16-64 años,% Extranjeros,Mujeres,2020,8.88
305,5,16-64 años,% Extranjeros,Mujeres,2019,8.13
306,5,65 y más,Españoles,Hombres,2021,18938.0
307,5,65 y más,Españoles,Hombres,2020,18774.0
308,5,65 y más,Españoles,Hombres,2019,18700.0
309,5,65 y más,Españoles,Mujeres,2021,21872.0
310,5,65 y más,Españoles,Mujeres,2020,21988.0
311,5,65 y más,Españoles,Mujeres,2019,22004.0
312,5,65 y más,Extranjeros,Hombres,2021,170.0
313,5,65 y más,Extranjeros,Hombres,2020,161.0
314,5,65 y más,Extranjeros,Hombres,2019,141.0
315,5,65 y más,Extranjeros,Mujeres,2021,237.0
316,5,65 y más,Extranjeros,Mujeres,2020,209.0
317,5,65 y más,Extranjeros,Mujeres,2019,185.0
318,5,65 y más,% Extranjeros,Hombres,2021,0.89
319,5,65 y más,% Extranjeros,Hombres,2020,0.85
320,5,65 y más,% Extranjeros,Hombres,2019,0.75
321,5,65 y más,% Extranjeros,Mujeres,2021,1.07
322,5,65 y más,% Extranjeros,Mujeres,2020,0.94
323,5,65 y más,% Extranjeros,Mujeres,2019,0.83
324,6,0-15 años,Españoles,Hombres,2021,49620.0
325,6,0-15 años,Españoles,Hombres,2020,50481.0
326,6,0-15 años,Españoles,Hombres,2019,51393.0
327,6,0-15 años,Españoles,Mujeres,2021,46957.0
328,6,0-15 años,Españoles,Mujeres,2020,47847.0
329,6,0-15 años,Españoles,Mujeres,2019,48708.0
330,6,0-15 años,Extranjeros,Hombres,2021,1803.0
331,6,0-15 años,Extranjeros,Hombres,2020,1779.0
332,6,0-15 años,Extranjeros,Hombres,2019,1655.0
333,6,0-15 años,Extranjeros,Mujeres,2021,1666.0
334,6,0-15 años,Extranjeros,Mujeres,2020,1662.0
335,6,0-15 años,Extranjeros,Mujeres,2019,1573.0
336,6,0-15 años,% Extranjeros,Hombres,2021,3.51
337,6,0-15 años,% Extranjeros,Hombres,2020,3.4
338,6,0-15 años,% Extranjeros,Hombres,2019,3.12
339,6,0-15 años,% Extranjeros,Mujeres,2021,3.43
340,6,0-15 años,% Extranjeros,Mujeres,2020,3.36
341,6,0-15 años,% Extranjeros,Mujeres,2019,3.13
342,6,16-64 años,Españoles,Hombres,2021,213216.0
343,6,16-64 años,Españoles,Hombres,2020,214177.0
344,6,16-64 años,Españoles,Hombres,2019,215536.0
345,6,16-64 años,Españoles,Mujeres,2021,206848.0
346,6,16-64 años,Españoles,Mujeres,2020,207509.0
347,6,16-64 años,Españoles,Mujeres,2019,208499.0
348,6,16-64 años,Extranjeros,Hombres,2021,7776.0
349,6,16-64 años,Extranjeros,Hombres,2020,7765.0
350,6,16-64 años,Extranjeros,Hombres,2019,7218.0
351,6,16-64 años,Extranjeros,Mujeres,2021,9086.0
352,6,16-64 años,Extranjeros,Mujeres,2020,8925.0
353,6,16-64 años,Extranjeros,Mujeres,2019,8211.0
354,6,16-64 años,% Extranjeros,Hombres,2021,3.52
355,6,16-64 años,% Extranjeros,Hombres,2020,3.5
356,6,16-64 años,% Extranjeros,Hombres,2019,3.24
357,6,16-64 años,% Extranjeros,Mujeres,2021,4.21
358,6,16-64 años,% Extranjeros,Mujeres,2020,4.12
359,6,16-64 años,% Extranjeros,Mujeres,2019,3.79
360,6,65 y más,Españoles,Hombres,2021,58162.0
361,6,65 y más,Españoles,Hombres,2020,57581.0
362,6,65 y más,Españoles,Hombres,2019,56934.0
363,6,65 y más,Españoles,Mujeres,2021,73857.0
364,6,65 y más,Españoles,Mujeres,2020,73512.0
365,6,65 y más,Españoles,Mujeres,2019,73030.0
366,6,65 y más,Extranjeros,Hombres,2021,448.0
367,6,65 y más,Extranjeros,Hombres,2020,421.0
368,6,65 y más,Extranjeros,Hombres,2019,376.0
369,6,65 y más,Extranjeros,Mujeres,2021,504.0
370,6,65 y más,Extranjeros,Mujeres,2020,478.0
371,6,65 y más,Extranjeros,Mujeres,2019,426.0
372,6,65 y más,% Extranjeros,Hombres,2021,0.76
373,6,65 y más,% Extranjeros,Hombres,2020,0.73
374,6,65 y más,% Extranjeros,Hombres,2019,0.66
375,6,65 y más,% Extranjeros,Mujeres,2021,0.68
376,6,65 y más,% Extranjeros,Mujeres,2020,0.65
377,6,65 y más,% Extranjeros,Mujeres,2019,0.58
378,7,0-15 años,Españoles,Hombres,2021,77855.0
379,7,0-15 años,Españoles,Hombres,2020,79066.0
380,7,0-15 años,Españoles,Hombres,2019,79945.0
381,7,0-15 años,Españoles,Mujeres,2021,73591.0
382,7,0-15 años,Españoles,Mujeres,2020,74641.0
383,7,0-15 años,Españoles,Mujeres,2019,75355.0
384,7,0-15 años,Extranjeros,Hombres,2021,16174.0
385,7,0-15 años,Extranjeros,Hombres,2020,16175.0
386,7,0-15 años,Extranjeros,Hombres,2019,15163.0
387,7,0-15 años,Extranjeros,Mujeres,2021,15394.0
388,7,0-15 años,Extranjeros,Mujeres,2020,15382.0
389,7,0-15 años,Extranjeros,Mujeres,2019,14560.0
390,7,0-15 años,% Extranjeros,Hombres,2021,17.2
391,7,0-15 años,% Extranjeros,Hombres,2020,16.98
392,7,0-15 años,% Extranjeros,Hombres,2019,15.94
393,7,0-15 años,% Extranjeros,Mujeres,2021,17.3
394,7,0-15 años,% Extranjeros,Mujeres,2020,17.09
395,7,0-15 años,% Extranjeros,Mujeres,2019,16.19
396,7,16-64 años,Españoles,Hombres,2021,319697.0
397,7,16-64 años,Españoles,Hombres,2020,319755.0
398,7,16-64 años,Españoles,Hombres,2019,317084.0
399,7,16-64 años,Españoles,Mujeres,2021,310502.0
400,7,16-64 años,Españoles,Mujeres,2020,310582.0
401,7,16-64 años,Españoles,Mujeres,2019,308383.0
402,7,16-64 años,Extranjeros,Hombres,2021,87712.0
403,7,16-64 años,Extranjeros,Hombres,2020,87781.0
404,7,16-64 años,Extranjeros,Hombres,2019,81176.0
405,7,16-64 años,Extranjeros,Mujeres,2021,84721.0
406,7,16-64 años,Extranjeros,Mujeres,2020,84937.0
407,7,16-64 años,Extranjeros,Mujeres,2019,79150.0
408,7,16-64 años,% Extranjeros,Hombres,2021,21.53
409,7,16-64 años,% Extranjeros,Hombres,2020,21.54
410,7,16-64 años,% Extranjeros,Hombres,2019,20.38
411,7,16-64 años,% Extranjeros,Mujeres,2021,21.44
412,7,16-64 años,% Extranjeros,Mujeres,2020,21.47
413,7,16-64 años,% Extranjeros,Mujeres,2019,20.42
414,7,65 y más,Españoles,Hombres,2021,75923.0
415,7,65 y más,Españoles,Hombres,2020,74297.0
416,7,65 y más,Españoles,Hombres,2019,72522.0
417,7,65 y más,Españoles,Mujeres,2021,95143.0
418,7,65 y más,Españoles,Mujeres,2020,93167.0
419,7,65 y más,Españoles,Mujeres,2019,91184.0
420,7,65 y más,Extranjeros,Hombres,2021,7492.0
421,7,65 y más,Extranjeros,Hombres,2020,7224.0
422,7,65 y más,Extranjeros,Hombres,2019,6867.0
423,7,65 y más,Extranjeros,Mujeres,2021,8804.0
424,7,65 y más,Extranjeros,Mujeres,2020,8536.0
425,7,65 y más,Extranjeros,Mujeres,2019,8071.0
426,7,65 y más,% Extranjeros,Hombres,2021,8.98
427,7,65 y más,% Extranjeros,Hombres,2020,8.86
428,7,65 y más,% Extranjeros,Hombres,2019,8.65
429,7,65 y más,% Extranjeros,Mujeres,2021,8.47
430,7,65 y más,% Extranjeros,Mujeres,2020,8.39
431,7,65 y más,% Extranjeros,Mujeres,2019,8.13
432,8,0-15 años,Españoles,Hombres,2021,390709.0
433,8,0-15 años,Españoles,Hombres,2020,400042.0
434,8,0-15 años,Españoles,Hombres,2019,406857.0
435,8,0-15 años,Españoles,Mujeres,2021,368763.0
436,8,0-15 años,Españoles,Mujeres,2020,377523.0
437,8,0-15 años,Españoles,Mujeres,2019,384000.0
438,8,0-15 años,Extranjeros,Hombres,2021,66671.0
439,8,0-15 años,Extranjeros,Hombres,2020,68576.0
440,8,0-15 años,Extranjeros,Hombres,2019,63456.0
441,8,0-15 años,Extranjeros,Mujeres,2021,62530.0
442,8,0-15 años,Extranjeros,Mujeres,2020,64219.0
443,8,0-15 años,Extranjeros,Mujeres,2019,59207.0
444,8,0-15 años,% Extranjeros,Hombres,2021,14.58
445,8,0-15 años,% Extranjeros,Hombres,2020,14.63
446,8,0-15 años,% Extranjeros,Hombres,2019,13.49
447,8,0-15 años,% Extranjeros,Mujeres,2021,14.5
448,8,0-15 años,% Extranjeros,Mujeres,2020,14.54
449,8,0-15 años,% Extranjeros,Mujeres,2019,13.36
450,8,16-64 años,Españoles,Hombres,2021,1506091.0
451,8,16-64 años,Españoles,Hombres,2020,1506464.0
452,8,16-64 años,Españoles,Hombres,2019,1506278.0
453,8,16-64 años,Españoles,Mujeres,2021,1518234.0
454,8,16-64 años,Españoles,Mujeres,2020,1519981.0
455,8,16-64 años,Españoles,Mujeres,2019,1522017.0
456,8,16-64 años,Extranjeros,Hombres,2021,366417.0
457,8,16-64 años,Extranjeros,Hombres,2020,369365.0
458,8,16-64 años,Extranjeros,Hombres,2019,334255.0
459,8,16-64 años,Extranjeros,Mujeres,2021,344414.0
460,8,16-64 años,Extranjeros,Mujeres,2020,349893.0
461,8,16-64 años,Extranjeros,Mujeres,2019,319265.0
462,8,16-64 años,% Extranjeros,Hombres,2021,19.57
463,8,16-64 años,% Extranjeros,Hombres,2020,19.69
464,8,16-64 años,% Extranjeros,Hombres,2019,18.16
465,8,16-64 años,% Extranjeros,Mujeres,2021,18.49
466,8,16-64 años,% Extranjeros,Mujeres,2020,18.71
467,8,16-64 años,% Extranjeros,Mujeres,2019,17.34
468,8,65 y más,Españoles,Hombres,2021,447928.0
469,8,65 y más,Españoles,Hombres,2020,446745.0
470,8,65 y más,Españoles,Hombres,2019,440376.0
471,8,65 y más,Españoles,Mujeres,2021,611247.0
