Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;65 y más;TOTAL;Hombres;2019;3.911.756
TOTAL ESPAÑA;65 y más;TOTAL;Mujeres;2021;5.277.783
TOTAL ESPAÑA;65 y más;TOTAL;Mujeres;2020;5.230.849
TOTAL ESPAÑA;65 y más;TOTAL;Mujeres;2019;5.145.437
TOTAL ESPAÑA;65 y más;Españoles;Ambos sexos;2021;8.926.867
TOTAL ESPAÑA;65 y más;Españoles;Ambos sexos;2020;8.846.653
TOTAL ESPAÑA;65 y más;Españoles;Ambos sexos;2019;8.713.295
TOTAL ESPAÑA;65 y más;Españoles;Hombres;2021;3.853.721
TOTAL ESPAÑA;65 y más;Españoles;Hombres;2020;3.814.238
TOTAL ESPAÑA;65 y más;Españoles;Hombres;2019;3.750.163
TOTAL ESPAÑA;65 y más;Españoles;Mujeres;2021;5.073.146
TOTAL ESPAÑA;65 y más;Españoles;Mujeres;2020;5.032.415
TOTAL ESPAÑA;65 y más;Españoles;Mujeres;2019;4.963.132
TOTAL ESPAÑA;65 y más;Extranjeros;Ambos sexos;2021;383.961
TOTAL ESPAÑA;65 y más;Extranjeros;Ambos sexos;2020;371.728
TOTAL ESPAÑA;65 y más;Extranjeros;Ambos sexos;2019;343.898
TOTAL ESPAÑA;65 y más;Extranjeros;Hombres;2021;179.324
TOTAL ESPAÑA;65 y más;Extranjeros;Hombres;2020;173.294
TOTAL ESPAÑA;65 y más;Extranjeros;Hombres;2019;161.593
TOTAL ESPAÑA;65 y más;Extranjeros;Mujeres;2021;204.637
TOTAL ESPAÑA;65 y más;Extranjeros;Mujeres;2020;198.434
TOTAL ESPAÑA;65 y más;Extranjeros;Mujeres;2019;182.305
TOTAL ESPAÑA;65 y más;% Extranjeros;Ambos sexos;2021;4,12
TOTAL ESPAÑA;65 y más;% Extranjeros;Ambos sexos;2020;4,03
TOTAL ESPAÑA;65 y más;% Extranjeros;Ambos sexos;2019;3,80
TOTAL ESPAÑA;65 y más;% Extranjeros;Hombres;2021;4,45
TOTAL ESPAÑA;65 y más;% Extranjeros;Hombres;2020;4,35
TOTAL ESPAÑA;65 y más;% Extranjeros;Hombres;2019;4,13
TOTAL ESPAÑA;65 y más;% Extranjeros;Mujeres;2021;3,88
TOTAL ESPAÑA;65 y más;% Extranjeros;Mujeres;2020;3,79
TOTAL ESPAÑA;65 y más;% Extranjeros;Mujeres;2019;3,54
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2021;386.464
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2020;388.270
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2019;388.167
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2021;193.205
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2020;194.081
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2019;193.911
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2021;193.259
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2020;194.189
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2019;194.256
02 Albacete;TOTAL EDADES;Españoles;Ambos sexos;2021;359.665
02 Albacete;TOTAL EDADES;Españoles;Ambos sexos;2020;361.946
02 Albacete;TOTAL EDADES;Españoles;Ambos sexos;2019;363.581
02 Albacete;TOTAL EDADES;Españoles;Hombres;2021;178.751
02 Albacete;TOTAL EDADES;Españoles;Hombres;2020;179.827
02 Albacete;TOTAL EDADES;Españoles;Hombres;2019;180.648
02 Albacete;TOTAL EDADES;Españoles;Mujeres;2021;180.914
02 Albacete;TOTAL EDADES;Españoles;Mujeres;2020;182.119
02 Albacete;TOTAL EDADES;Españoles;Mujeres;2019;182.933
02 Albacete;TOTAL EDADES;Extranjeros;Ambos sexos;2021;26.799
02 Albacete;TOTAL EDADES;Extranjeros;Ambos sexos;2020;26.324
02 Albacete;TOTAL EDADES;Extranjeros;Ambos sexos;2019;24.586
02 Albacete;TOTAL EDADES;Extranjeros;Hombres;2021;14.454
02 Albacete;TOTAL EDADES;Extranjeros;Hombres;2020;14.254
02 Albacete;TOTAL EDADES;Extranjeros;Hombres;2019;13.263
02 Albacete;TOTAL EDADES;Extranjeros;Mujeres;2021;12.345
02 Albacete;TOTAL EDADES;Extranjeros;Mujeres;2020;12.070
02 Albacete;TOTAL EDADES;Extranjeros;Mujeres;2019;11.323
02 Albacete;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;6,93
02 Albacete;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;6,78
02 Albacete;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;6,33
02 Albacete;TOTAL EDADES;% Extranjeros;Hombres;2021;7,48
02 Albacete;TOTAL EDADES;% Extranjeros;Hombres;2020;7,34
02 Albacete;TOTAL EDADES;% Extranjeros;Hombres;2019;6,84
02 Albacete;TOTAL EDADES;% Extranjeros;Mujeres;2021;6,39
02 Albacete;TOTAL EDADES;% Extranjeros;Mujeres;2020;6,22
02 Albacete;TOTAL EDADES;% Extranjeros;Mujeres;2019;5,83
02 Albacete;0-15 años;TOTAL;Ambos sexos;2021;57.551
02 Albacete;0-15 años;TOTAL;Ambos sexos;2020;58.568
02 Albacete;0-15 años;TOTAL;Ambos sexos;2019;59.463
02 Albacete;0-15 años;TOTAL;Hombres;2021;29.756
02 Albacete;0-15 años;TOTAL;Hombres;2020;30.424
02 Albacete;0-15 años;TOTAL;Hombres;2019;30.791
02 Albacete;0-15 años;TOTAL;Mujeres;2021;27.795
02 Albacete;0-15 años;TOTAL;Mujeres;2020;28.144
02 Albacete;0-15 años;TOTAL;Mujeres;2019;28.672
02 Albacete;0-15 años;Españoles;Ambos sexos;2021;52.851
02 Albacete;0-15 años;Españoles;Ambos sexos;2020;53.932
02 Albacete;0-15 años;Españoles;Ambos sexos;2019;55.028
02 Albacete;0-15 años;Españoles;Hombres;2021;27.304
02 Albacete;0-15 años;Españoles;Hombres;2020;27.979
02 Albacete;0-15 años;Españoles;Hombres;2019;28.513
02 Albacete;0-15 años;Españoles;Mujeres;2021;25.547
02 Albacete;0-15 años;Españoles;Mujeres;2020;25.953
02 Albacete;0-15 años;Españoles;Mujeres;2019;26.515
02 Albacete;0-15 años;Extranjeros;Ambos sexos;2021;4.700
02 Albacete;0-15 años;Extranjeros;Ambos sexos;2020;4.636
02 Albacete;0-15 años;Extranjeros;Ambos sexos;2019;4.435
02 Albacete;0-15 años;Extranjeros;Hombres;2021;2.452
02 Albacete;0-15 años;Extranjeros;Hombres;2020;2.445
02 Albacete;0-15 años;Extranjeros;Hombres;2019;2.278
02 Albacete;0-15 años;Extranjeros;Mujeres;2021;2.248
02 Albacete;0-15 años;Extranjeros;Mujeres;2020;2.191
02 Albacete;0-15 años;Extranjeros;Mujeres;2019;2.157
02 Albacete;0-15 años;% Extranjeros;Ambos sexos;2021;8,17
02 Albacete;0-15 años;% Extranjeros;Ambos sexos;2020;7,92
02 Albacete;0-15 años;% Extranjeros;Ambos sexos;2019;7,46
02 Albacete;0-15 años;% Extranjeros;Hombres;2021;8,24
02 Albacete;0-15 años;% Extranjeros;Hombres;2020;8,04
02 Albacete;0-15 años;% Extranjeros;Hombres;2019;7,40
02 Albacete;0-15 años;% Extranjeros;Mujeres;2021;8,09
02 Albacete;0-15 años;% Extranjeros;Mujeres;2020;7,78
02 Albacete;0-15 años;% Extranjeros;Mujeres;2019;7,52
02 Albacete;16-64 años;TOTAL;Ambos sexos;2021;253.794
02 Albacete;16-64 años;TOTAL;Ambos sexos;2020;254.323
02 Albacete;16-64 años;TOTAL;Ambos sexos;2019;253.910
02 Albacete;16-64 años;TOTAL;Hombres;2021;129.994
02 Albacete;16-64 años;TOTAL;Hombres;2020;130.094
02 Albacete;16-64 años;TOTAL;Hombres;2019;129.859
02 Albacete;16-64 años;TOTAL;Mujeres;2021;123.800
02 Albacete;16-64 años;TOTAL;Mujeres;2020;124.229
02 Albacete;16-64 años;TOTAL;Mujeres;2019;124.051
02 Albacete;16-64 años;Españoles;Ambos sexos;2021;232.502
02 Albacete;16-64 años;Españoles;Ambos sexos;2020;233.399
02 Albacete;16-64 años;Españoles;Ambos sexos;2019;234.434
02 Albacete;16-64 años;Españoles;Hombres;2021;118.339
02 Albacete;16-64 años;Españoles;Hombres;2020;118.606
02 Albacete;16-64 años;Españoles;Hombres;2019;119.164
02 Albacete;16-64 años;Españoles;Mujeres;2021;114.163
02 Albacete;16-64 años;Españoles;Mujeres;2020;114.793
02 Albacete;16-64 años;Españoles;Mujeres;2019;115.270
02 Albacete;16-64 años;Extranjeros;Ambos sexos;2021;21.292
02 Albacete;16-64 años;Extranjeros;Ambos sexos;2020;20.924
02 Albacete;16-64 años;Extranjeros;Ambos sexos;2019;19.476
02 Albacete;16-64 años;Extranjeros;Hombres;2021;11.655
02 Albacete;16-64 años;Extranjeros;Hombres;2020;11.488
02 Albacete;16-64 años;Extranjeros;Hombres;2019;10.695
02 Albacete;16-64 años;Extranjeros;Mujeres;2021;9.637
02 Albacete;16-64 años;Extranjeros;Mujeres;2020;9.436
02 Albacete;16-64 años;Extranjeros;Mujeres;2019;8.781
02 Albacete;16-64 años;% Extranjeros;Ambos sexos;2021;8,39
02 Albacete;16-64 años;% Extranjeros;Ambos sexos;2020;8,23
02 Albacete;16-64 años;% Extranjeros;Ambos sexos;2019;7,67
02 Albacete;16-64 años;% Extranjeros;Hombres;2021;8,97
02 Albacete;16-64 años;% Extranjeros;Hombres;2020;8,83
02 Albacete;16-64 años;% Extranjeros;Hombres;2019;8,24
02 Albacete;16-64 años;% Extranjeros;Mujeres;2021;7,78
02 Albacete;16-64 años;% Extranjeros;Mujeres;2020;7,60
02 Albacete;16-64 años;% Extranjeros;Mujeres;2019;7,08
02 Albacete;65 y más;TOTAL;Ambos sexos;2021;75.119
02 Albacete;65 y más;TOTAL;Ambos sexos;2020;75.379
02 Albacete;65 y más;TOTAL;Ambos sexos;2019;74.794
02 Albacete;65 y más;TOTAL;Hombres;2021;33.455
02 Albacete;65 y más;TOTAL;Hombres;2020;33.563
02 Albacete;65 y más;TOTAL;Hombres;2019;33.261
02 Albacete;65 y más;TOTAL;Mujeres;2021;41.664
02 Albacete;65 y más;TOTAL;Mujeres;2020;41.816
02 Albacete;65 y más;TOTAL;Mujeres;2019;41.533
02 Albacete;65 y más;Españoles;Ambos sexos;2021;74.312
02 Albacete;65 y más;Españoles;Ambos sexos;2020;74.615
02 Albacete;65 y más;Españoles;Ambos sexos;2019;74.119
02 Albacete;65 y más;Españoles;Hombres;2021;33.108
02 Albacete;65 y más;Españoles;Hombres;2020;33.242
02 Albacete;65 y más;Españoles;Hombres;2019;32.971
02 Albacete;65 y más;Españoles;Mujeres;2021;41.204
02 Albacete;65 y más;Españoles;Mujeres;2020;41.373
02 Albacete;65 y más;Españoles;Mujeres;2019;41.148
02 Albacete;65 y más;Extranjeros;Ambos sexos;2021;807
02 Albacete;65 y más;Extranjeros;Ambos sexos;2020;764
02 Albacete;65 y más;Extranjeros;Ambos sexos;2019;675
02 Albacete;65 y más;Extranjeros;Hombres;2021;347
02 Albacete;65 y más;Extranjeros;Hombres;2020;321
02 Albacete;65 y más;Extranjeros;Hombres;2019;290
02 Albacete;65 y más;Extranjeros;Mujeres;2021;460
02 Albacete;65 y más;Extranjeros;Mujeres;2020;443
02 Albacete;65 y más;Extranjeros;Mujeres;2019;385
02 Albacete;65 y más;% Extranjeros;Ambos sexos;2021;1,07
02 Albacete;65 y más;% Extranjeros;Ambos sexos;2020;1,01
02 Albacete;65 y más;% Extranjeros;Ambos sexos;2019;0,90
02 Albacete;65 y más;% Extranjeros;Hombres;2021;1,04
02 Albacete;65 y más;% Extranjeros;Hombres;2020;0,96
02 Albacete;65 y más;% Extranjeros;Hombres;2019;0,87
02 Albacete;65 y más;% Extranjeros;Mujeres;2021;1,10
02 Albacete;65 y más;% Extranjeros;Mujeres;2020;1,06
02 Albacete;65 y más;% Extranjeros;Mujeres;2019;0,93
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.881.762
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.879.888
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.858.683
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2021;932.018
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2020;931.856
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2019;920.915
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2021;949.744
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2020;948.032
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2019;937.768
03 Alicante/Alacant;TOTAL EDADES;Españoles;Ambos sexos;2021;1.508.339
03 Alicante/Alacant;TOTAL EDADES;Españoles;Ambos sexos;2020;1.505.270
03 Alicante/Alacant;TOTAL EDADES;Españoles;Ambos sexos;2019;1.503.229
03 Alicante/Alacant;TOTAL EDADES;Españoles;Hombres;2021;743.764
03 Alicante/Alacant;TOTAL EDADES;Españoles;Hombres;2020;742.423
03 Alicante/Alacant;TOTAL EDADES;Españoles;Hombres;2019;741.358
03 Alicante/Alacant;TOTAL EDADES;Españoles;Mujeres;2021;764.575
03 Alicante/Alacant;TOTAL EDADES;Españoles;Mujeres;2020;762.847
03 Alicante/Alacant;TOTAL EDADES;Españoles;Mujeres;2019;761.871
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Ambos sexos;2021;373.423
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Ambos sexos;2020;374.618
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Ambos sexos;2019;355.454
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Hombres;2021;188.254
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Hombres;2020;189.433
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Hombres;2019;179.557
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Mujeres;2021;185.169
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Mujeres;2020;185.185
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Mujeres;2019;175.897
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;19,84
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;19,93
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;19,12
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Hombres;2021;20,20
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Hombres;2020;20,33
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Hombres;2019;19,50
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Mujeres;2021;19,50
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Mujeres;2020;19,53
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Mujeres;2019;18,76
03 Alicante/Alacant;0-15 años;TOTAL;Ambos sexos;2021;285.935
03 Alicante/Alacant;0-15 años;TOTAL;Ambos sexos;2020;291.229
03 Alicante/Alacant;0-15 años;TOTAL;Ambos sexos;2019;291.695
03 Alicante/Alacant;0-15 años;TOTAL;Hombres;2021;147.269
03 Alicante/Alacant;0-15 años;TOTAL;Hombres;2020;150.046
03 Alicante/Alacant;0-15 años;TOTAL;Hombres;2019;150.233
03 Alicante/Alacant;0-15 años;TOTAL;Mujeres;2021;138.666
03 Alicante/Alacant;0-15 años;TOTAL;Mujeres;2020;141.183
03 Alicante/Alacant;0-15 años;TOTAL;Mujeres;2019;141.462
03 Alicante/Alacant;0-15 años;Españoles;Ambos sexos;2021;235.777
03 Alicante/Alacant;0-15 años;Españoles;Ambos sexos;2020;240.109
03 Alicante/Alacant;0-15 años;Españoles;Ambos sexos;2019;243.925
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2021;121.579
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2020;123.879
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2019;125.807
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2021;114.198
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2020;116.230
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2019;118.118
03 Alicante/Alacant;0-15 años;Extranjeros;Ambos sexos;2021;50.158
03 Alicante/Alacant;0-15 años;Extranjeros;Ambos sexos;2020;51.120
03 Alicante/Alacant;0-15 años;Extranjeros;Ambos sexos;2019;47.770
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2021;25.690
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2020;26.167
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2019;24.426
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2021;24.468
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2020;24.953
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2019;23.344
03 Alicante/Alacant;0-15 años;% Extranjeros;Ambos sexos;2021;17,54
03 Alicante/Alacant;0-15 años;% Extranjeros;Ambos sexos;2020;17,55
03 Alicante/Alacant;0-15 años;% Extranjeros;Ambos sexos;2019;16,38
03 Alicante/Alacant;0-15 años;% Extranjeros;Hombres;2021;17,44
03 Alicante/Alacant;0-15 años;% Extranjeros;Hombres;2020;17,44
03 Alicante/Alacant;0-15 años;% Extranjeros;Hombres;2019;16,26
03 Alicante/Alacant;0-15 años;% Extranjeros;Mujeres;2021;17,65
03 Alicante/Alacant;0-15 años;% Extranjeros;Mujeres;2020;17,67
03 Alicante/Alacant;0-15 años;% Extranjeros;Mujeres;2019;16,50
03 Alicante/Alacant;16-64 años;TOTAL;Ambos sexos;2021;1.217.270
03 Alicante/Alacant;16-64 años;TOTAL;Ambos sexos;2020;1.215.657
03 Alicante/Alacant;16-64 años;TOTAL;Ambos sexos;2019;1.200.436
03 Alicante/Alacant;16-64 años;TOTAL;Hombres;2021;614.019
03 Alicante/Alacant;16-64 años;TOTAL;Hombres;2020;613.646
03 Alicante/Alacant;16-64 años;TOTAL;Hombres;2019;605.441
03 Alicante/Alacant;16-64 años;TOTAL;Mujeres;2021;603.251
03 Alicante/Alacant;16-64 años;TOTAL;Mujeres;2020;602.011
